GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
00089000001118,Diageo North America Inc.,Johnnie Walker,50.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky, 50 mL",JW Black Label,,PACK,12,40.0,,USA,Whisky & Bourbon
00088110011192,Diageo North America Inc.,Johnnie Walker,375.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky, 375 mL",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
00088076185142,Diageo North America Inc.,Johnnie Walker,850.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky, 750 mL Bottle with One Johnnie Walker Gold Label Reserve Blended Scotch Whisky 50 mL Bottle and One Johnnie Walker Double Black Label Blended Scotch Whisky 50 mL Bottle",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
00082000005957,Diageo North America Inc.,Johnnie Walker,50.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky, 50 mL",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
00088076163171,Diageo North America Inc.,Johnnie Walker,1.75,L,"Johnnie Walker Black Label Blended Scotch Whisky, 1.75 L",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
00088076185777,Diageo North America Inc.,Johnnie Walker,750.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky, 750 mL Bottle with Two Branded Highball Glasses",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
00088110011307,Diageo North America Inc.,Johnnie Walker,750.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky, 750 mL",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
00088110011130,Diageo North America Inc.,Johnnie Walker,200.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky, 200 mL",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
00088076185944,Diageo North America Inc.,Johnnie Walker,850.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky Gift Pack, Includes one 750mL Johnnie Walker Black Label, one 50mL Johnnie Walker Gold Label Reserve, one 50mL Johnnie Walker Double Black Label",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
00088076185937,Diageo North America Inc.,Johnnie Walker,750.0,mL,"Johnnie Walker Black Label Blended Scotch Whisky, 750 mL Bottle with Two Branded Highball Glasses",JW Black Label,,EACH,1,40.0,,USA,Whisky & Bourbon
