GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
00082000799931,Diageo North America Inc.,Loyal 9,355.0,mL,"Loyal 9 Lemonade + Iced Tea Vodka Cocktail, 4-PACK (4 x 12 fl oz)",Loyal 9 Lemonade and Iced Tea,,PACK,4,9.0,,USA,"Punch, Cocktail & Premix"
00082000799917,Diageo North America Inc.,Loyal 9,355.0,mL,"Loyal 9 Mixed Berry Lemonade Vodka Cocktail, 4-PACK (4 x 12 fl oz)",Loyal 9 Mixed Berry Lemonade,,PACK,4,9.0,,USA,"Punch, Cocktail & Premix"
00088076185098,Diageo North America Inc.,Ketel One,355.0,mL,"Ketel One Botanical Vodka Spritz Peach & Orange Blossom, 4-PACK (4 x 12 fl oz)",Ketel OneBotanicaVdkSpritzPch;OrgBlsmDNU,,PACK,4,4.5,,USA,"Punch, Cocktail & Premix"
00082000799894,Diageo North America Inc.,Loyal 9,355.0,mL,"Loyal 9 Lemonade Vodka Cocktail, 4-PACK (4 x 12 fl oz)",Loyal 9 Lemonade,,PACK,4,9.0,,USA,"Punch, Cocktail & Premix"
00082000799955,Diageo North America Inc.,Loyal 9,355.0,mL,"Loyal 9 Watermelon Lemonade Vodka Cocktail, 4-PACK (4 x 12 fl oz)",Loyal 9 Watermelon Lemonade,,PACK,4,9.0,,USA,"Punch, Cocktail & Premix"
00088076185074,Diageo North America Inc.,Ketel One,355.0,mL,"Ketel One Botanical Vodka Spritz Cucumber & Mint, 4-PACK (4 x 12 fl oz)",Ketel OneBotanicalVdkSpritzCucmbr;MntDNU,,PACK,4,4.5,,USA,"Punch, Cocktail & Premix"
00088076185067,Diageo North America Inc.,Ketel One,355.0,mL,"Ketel One Botanical Vodka Spritz Cucumber & Mint, 12 fl oz",Ketel OneBotanicalVdkSpritzCucmbr;MntDNU,,EACH,1,3.6,,USA,"Punch, Cocktail & Premix"
00088076185081,Diageo North America Inc.,Ketel One,355.0,mL,"Ketel One Botanical Vodka Spritz Peach & Orange Blossom, 12 fl oz",Ketel OneBotanicaVdkSpritzPch;OrgBlsmDNU,,EACH,1,3.6,,USA,"Punch, Cocktail & Premix"
00698614985723,"City Brewing, La Crosse, WI",Red Stripe,12.0,oz,"Red Stripe Rum Mojito, 4 Pack, 12oz Slim Cans","Red Stripe Rum Mojito, 4 Pack, 12oz Slim Cans",Rum Cocktail,EACH,4,5.9,,USA,"Punch, Cocktail & Premix"
00698614985693,"City Brewing, La Crosse, WI",Red Stripe,12.0,oz,"Red Stripe Rum Punch, 4 Pack, 12oz Slim Cans","Red Stripe Rum Punch, 4 Pack, 12oz Slim Cans",Rum Cocktail,EACH,4,5.9,,USA,"Punch, Cocktail & Premix"
00088004043209,Sazerac Company Inc.,The Club,200.0,mL,The Club Long Island Iced Tea 4 pack 200ml 30 Proof,The Club LIT Tea 4pk 200ml 30Pf,Cocktails,PACK,4,15.0,,USA,"Punch, Cocktail & Premix"
00082000807964,Diageo North America Inc.,Crown Royal,375.0,mL,"Crown Royal Whisky Sour Cocktail with Black Cherry, 375 mL",Crown Royal Black Cherry Whiskey Sour,,EACH,1,23.0,,USA,"Punch, Cocktail & Premix"
00082000807971,Diageo North America Inc.,Crown Royal,750.0,mL,"Crown Royal Whisky Sour Cocktail with Black Cherry, 750 mL",Crown Royal Black Cherry Whiskey Sour,,EACH,1,23.0,,USA,"Punch, Cocktail & Premix"
00088076185043,Diageo North America Inc.,Ketel One,355.0,mL,"Ketel One Botanical Vodka Spritz Grapefruit & Rose, 12 fl oz",Ketel OneBotanicalVdkSpritzGrpfrt;RosDNU,,EACH,1,3.6,,USA,"Punch, Cocktail & Premix"
00088076185050,Diageo North America Inc.,Ketel One,355.0,mL,"Ketel One Botanical Vodka Spritz Grapefruit & Rose, 4-PACK (4 x 12 fl oz)",Ketel OneBotanicalVdkSpritzGrpfrt;RosDNU,,PACK,4,4.5,,USA,"Punch, Cocktail & Premix"
